,,,,,,,,,,,
0.047,0.046,0.046,0.046,0.047,0.044,0.044,0.041,0.043,0.045,0.041,0.044
0.046,0.081,0.044,0.041,0.039,0.096,0.041,0.037,0.047,0.093,0.048,0.041
0.045,0.037,0.041,0.038,0.09,0.042,0.044,0.043,0.055,0.041,0.042,0.04
0.046,0.04,0.042,0.038,0.045,0.14,0.04,0.043,0.048,0.042,0.039,0.038
0.041,0.04,0.046,0.038,0.042,0.04,0.041,0.039,0.05,0.046,0.042,0.043
0.052,0.038,0.039,0.04,0.051,0.04,0.043,0.043,0.053,0.043,0.046,0.043
0.048,0.043,0.043,0.044,0.05,0.052,0.045,0.06,0.044,0.046,0.05,0.053
0.05,0.046,0.048,0.047,0.046,0.043,0.043,0.052,0.049,0.052,0.042,0.045
,,,,,,,,,,,
0.047,0.047,0.043,0.046,0.047,0.048,0.05,0.047,0.049,0.048,0.052,0.047
0.042,0.087,0.038,0.047,0.045,0.113,0.048,0.048,0.049,0.106,0.057,0.051
0.055,0.038,0.042,0.038,0.05,0.043,0.043,0.043,0.077,0.041,0.045,0.047
0.046,0.041,0.044,0.044,0.046,0.038,0.044,0.044,0.047,0.041,0.041,0.043
0.04,0.042,0.038,0.041,0.045,0.045,0.042,0.046,0.053,0.047,0.094,0.047
0.055,0.04,0.044,0.042,0.054,0.044,0.048,0.047,0.05,0.04,0.051,0.041
0.046,0.045,0.073,0.049,0.045,0.055,0.048,0.049,0.048,0.045,0.141,0.051
0.042,0.046,0.046,0.041,0.04,0.045,0.041,0.039,0.044,0.038,0.045,0.042
,,,,,,,,,,,
0.045,0.044,0.039,0.042,0.045,0.043,0.044,0.04,0.051,0.04,0.043,0.043
0.043,0.088,0.041,0.038,0.04,0.098,0.04,0.036,0.039,0.096,0.037,0.047
0.047,0.035,0.038,0.038,0.063,0.037,0.039,0.04,0.072,0.036,0.037,0.035
0.046,0.04,0.041,0.036,0.046,0.044,0.069,0.042,0.046,0.038,0.039,0.037
0.041,0.04,0.041,0.046,0.048,0.043,0.039,0.04,0.055,0.047,0.037,0.043
0.046,0.041,0.041,0.042,0.052,0.045,0.045,0.042,0.052,0.04,0.044,0.043
0.046,0.045,0.046,0.042,0.041,0.051,0.048,0.045,0.046,0.047,0.044,0.048
0.047,0.045,0.042,0.044,0.036,0.062,0.042,0.043,0.04,0.057,0.038,0.04
,,,,,,,,,,,
0.045,0.049,0.041,0.046,0.045,0.045,0.047,0.046,0.042,0.047,0.041,0.045
0.042,0.073,0.037,0.037,0.044,0.077,0.048,0.043,0.042,0.091,0.043,0.047
0.2,0.037,0.042,0.042,0.066,0.038,0.044,0.042,0.051,0.043,0.039,0.037
0.046,0.042,0.041,0.041,0.046,0.041,0.042,0.047,0.047,0.042,0.041,0.039
0.052,0.041,0.051,0.042,0.046,0.043,0.04,0.046,0.053,0.048,0.043,0.042
0.055,0.038,0.043,0.048,0.055,0.049,0.046,0.043,0.054,0.046,0.048,0.04
0.048,0.045,0.05,0.041,0.047,0.052,0.051,0.048,0.05,0.05,0.052,0.05
0.049,0.048,0.06,0.053,0.042,0.05,0.046,0.044,0.045,0.065,0.047,0.042
,,,,,,,,,,,
