0.114,0.584,0.062,1.363,0.122,0.836,2.311,0.245,0.093,0.837,1.246,1.193
0.989,0.116,1.433,1.933,0.978,2.913,1.925,2.162,1.471,0.064,1.617,1.951
1.932,0.366,0.115,0.267,2.036,0.265,0.041,1.321,2.328,0.543,0.11,0.524
0.85,0.65,1.507,2.034,2.249,1.436,1.519,1.105,0.951,0.83,0.351,1.343
0.63,2.091,1.383,0.906,0.542,2.889,0.945,1.006,0.327,1.253,0.719,0.351
0.11,0.364,1.408,1.894,0.217,0.635,0.67,1.391,0.179,0.12,1.335,0.828
0.954,0.428,0.318,0.737,1.994,0.794,0.209,0.939,1.091,0.159,0.565,1.175
0.242,0.061,0.9,2.106,0.205,0.252,1.545,0.192,0.547,0.176,1.089,0.186
