0.061,0.06,0.06,0.053,0.06,0.481,0.059,0.082,0.125,0.222,0.057,0.283
1.046,0.916,0.747,0.164,1.29,0.093,0.494,0.111,1.16,0.729,0.437,0.046
0.889,0.063,0.142,0.309,0.839,0.067,0.145,0.174,0.891,0.459,0.203,0.057
0.811,0.226,0.471,0.055,0.61,0.06,2.084,0.057,0.535,0.16,0.297,0.415
0.612,0.522,0.399,0.04,0.127,0.066,0.21,0.045,0.072,2.468,0.185,0.29
1.406,0.724,0.114,0.129,0.453,0.06,0.201,0.067,0.083,0.132,0.126,0.687
0.076,0.081,0.149,0.232,0.056,0.076,0.133,0.048,0.652,0.06,0.089,0.251
0.054,0.072,1.476,0.251,0.263,0.057,0.117,0.204,0.274,0.061,1.828,0.053
