0.374,0.584,0.04,0.676,0.042,0.35,1.078,0.04,0.045,0.045,0.167,0.711
0.513,0.06,0.039,0.039,0.04,0.062,2.244,0.039,0.591,0.062,0.04,0.041
1.147,0.038,0.039,0.039,0.086,0.055,0.041,1.031,0.069,0.041,0.04,0.05
0.04,0.513,0.039,0.069,0.934,0.447,0.04,0.04,0.626,0.234,1.089,1.032
0.181,0.764,0.582,0.209,0.25,0.339,0.616,0.04,0.051,0.804,1.451,0.041
0.07,0.038,0.184,0.039,0.697,0.037,0.046,0.042,0.046,1.54,0.039,1.571
0.053,0.038,0.039,0.59,0.093,0.052,0.149,0.688,0.039,0.397,0.293,0.042
1.044,0.042,0.079,0.508,0.04,0.039,0.04,0.612,0.039,0.04,0.04,0.049
