0.053,0.055,1.174,0.039,0.055,0.052,0.041,0.083,0.044,0.07,0.843,0.045
1.318,0.051,1.233,2.286,0.363,0.053,0.895,1.569,0.435,0.053,0.349,0.041
0.808,0.069,0.04,0.714,1.012,0.046,0.038,1.14,1.295,0.043,0.039,0.901
0.636,0.037,0.643,0.038,0.312,1.073,0.039,0.099,1.619,1.099,0.04,0.039
0.069,1.892,0.863,0.9,0.769,2.11,0.191,0.506,0.051,0.877,0.486,0.229
0.576,0.109,0.061,0.064,0.081,1.429,0.045,1.234,0.081,0.037,0.04,0.407
0.059,0.226,0.113,0.716,0.039,0.048,0.069,0.041,0.36,0.049,0.048,0.044
0.414,0.041,0.602,0.043,0.046,0.051,0.693,0.054,0.099,0.053,0.039,0.431
