0.057,0.894,0.059,0.062,0.058,0.643,0.205,0.065,0.073,0.062,0.057,0.065
1.132,0.064,0.672,0.067,0.577,0.065,2.593,0.078,0.766,0.066,0.577,0.061
0.244,0.161,0.06,0.075,1.129,0.08,0.049,0.092,0.218,0.063,0.047,0.07
0.545,0.634,0.112,0.081,0.358,1.861,0.055,0.069,0.236,0.925,0.83,0.08
1.031,0.727,0.056,1.286,0.079,1.018,0.092,0.067,0.063,0.078,0.144,0.049
0.055,0.071,0.45,0.068,0.115,0.153,0.424,0.051,0.08,0.077,0.15,0.108
0.063,0.075,0.414,0.05,0.996,0.055,0.154,0.592,0.054,0.057,0.05,1.613
0.124,0.067,0.522,0.058,0.062,0.069,0.708,0.057,0.065,0.089,0.494,0.111
