0.179,2.173,0.043,0.044,0.046,0.299,1.556,1.152,0.044,1.591,0.088,0.046
0.878,0.058,2.028,0.678,0.627,0.064,0.047,0.041,2.492,0.123,2.056,0.042
1.691,0.04,0.043,2.02,1.337,0.044,0.067,2.175,1.258,0.052,0.303,1.103
0.527,0.849,0.042,0.04,1.451,0.868,0.541,1.9,0.069,1.488,0.632,1.588
0.082,1.807,0.638,0.481,0.04,1.67,0.038,1.376,0.05,0.055,1.347,0.29
0.088,0.042,0.858,0.092,0.083,0.039,0.055,1.272,0.062,0.149,0.04,0.046
0.698,0.271,0.107,0.05,0.541,0.048,0.115,0.05,0.049,0.105,1.582,0.16
0.61,0.695,1.499,0.199,0.043,0.6,0.043,0.049,2.305,0.04,2.601,0.676
