,,,,,,,,,,,
0.047,0.047,0.042,0.039,0.037,0.04,0.045,0.044,0.043,0.046,0.048,0.046
0.041,0.07,0.051,0.037,0.04,0.069,0.047,0.042,0.044,0.073,0.048,0.043
0.078,0.036,0.04,0.038,0.255,0.046,0.042,0.046,0.08,0.045,0.041,0.038
0.041,0.04,0.046,0.037,0.04,0.041,0.047,0.047,0.042,0.042,0.053,0.049
0.043,0.04,0.043,0.037,0.049,0.043,0.046,0.046,0.056,0.048,0.054,0.048
0.052,0.038,0.04,0.04,0.054,0.046,0.043,0.036,0.051,0.037,0.05,0.036
0.044,0.036,0.043,0.034,0.049,0.044,0.039,0.044,0.049,0.044,0.044,0.047
0.047,0.044,0.046,0.041,0.047,0.044,0.045,0.045,0.045,0.048,0.045,0.045
,,,,,,,,,,,
0.04,0.043,0.04,0.042,0.041,0.038,0.042,0.047,0.037,0.036,0.048,0.048
0.039,0.061,0.043,0.044,0.046,0.073,0.052,0.054,0.047,0.076,0.059,0.042
0.082,0.038,0.043,0.037,0.045,0.048,0.045,0.039,0.09,0.04,0.044,0.038
0.038,0.037,0.034,0.04,0.038,0.038,0.042,0.04,0.04,0.046,0.044,0.046
0.043,0.039,0.043,0.042,0.053,0.049,0.048,0.039,0.048,0.045,0.046,0.045
0.049,0.037,0.033,0.041,0.053,0.037,0.038,0.039,0.054,0.035,0.056,0.046
0.04,0.037,0.042,0.042,0.041,0.035,0.044,0.034,0.039,0.034,0.048,0.055
0.042,0.043,0.043,0.04,0.046,0.049,0.037,0.04,0.042,0.043,0.044,0.043
,,,,,,,,,,,
0.041,0.048,0.045,0.05,0.046,0.04,0.047,0.08,0.048,0.042,0.062,0.053
0.035,0.055,0.049,0.052,0.059,0.072,0.05,0.065,0.064,0.069,0.049,0.046
0.139,0.033,0.039,0.036,0.088,0.038,0.042,0.036,0.146,0.043,0.045,0.04
0.037,0.04,0.033,0.042,0.038,0.035,0.04,0.043,0.039,0.044,0.047,0.05
0.038,0.042,0.049,0.04,0.045,0.043,0.047,0.033,0.046,0.049,0.056,0.056
0.05,0.041,0.043,0.043,0.055,0.041,0.051,0.044,0.064,0.042,0.049,0.057
0.039,0.039,0.041,0.04,0.045,0.032,0.043,0.035,0.042,0.035,0.061,0.046
0.041,0.04,0.041,0.041,0.041,0.041,0.04,0.041,0.044,0.05,0.05,0.047
,,,,,,,,,,,
0.046,0.042,0.05,0.065,0.043,0.042,0.049,0.059,0.042,0.042,0.082,0.04
0.038,0.06,0.053,0.049,0.043,0.065,0.047,0.1,0.056,0.08,0.057,0.077
0.057,0.038,0.045,0.035,0.047,0.044,0.043,0.036,0.06,0.051,0.04,0.041
0.039,0.043,0.038,0.04,0.04,0.038,0.041,0.044,0.041,0.051,0.041,0.053
0.04,0.044,0.05,0.036,0.045,0.042,0.045,0.036,0.041,0.049,0.06,0.058
0.055,0.044,0.035,0.042,0.05,0.035,0.044,0.038,0.058,0.043,0.055,0.056
0.041,0.036,0.041,0.044,0.044,0.035,0.041,0.037,0.043,0.034,0.052,0.054
0.045,0.042,0.046,0.042,0.045,0.045,0.043,0.043,0.049,0.055,0.05,0.065
,,,,,,,,,,,
0.048,0.049,0.049,0.049,0.072,0.254,0.046,0.04,0.044,0.036,0.053,0.039
0.036,0.061,0.055,0.056,0.049,0.064,0.047,0.043,0.045,0.066,0.044,0.038
0.076,0.037,0.046,0.036,0.216,0.041,0.045,0.037,0.044,0.044,0.042,0.034
0.039,0.034,0.04,0.043,0.039,0.041,0.042,0.044,0.04,0.046,0.046,0.044
0.042,0.039,0.047,0.036,0.059,0.046,0.044,0.035,0.048,0.041,0.052,0.043
0.051,0.033,0.038,0.042,0.054,0.039,0.045,0.039,0.049,0.036,0.057,0.043
0.04,0.034,0.041,0.039,0.035,0.038,0.043,0.037,0.042,0.039,0.045,0.048
0.042,0.041,0.045,0.041,0.044,0.042,0.042,0.042,0.044,0.044,0.046,0.05
,,,,,,,,,,,
0.043,0.043,0.041,0.062,0.043,0.048,0.05,0.063,0.042,0.043,0.044,0.047
0.038,0.055,0.059,0.051,0.051,0.076,0.045,0.052,0.045,0.066,0.047,0.044
0.1,0.037,0.04,0.033,0.045,0.043,0.091,0.043,0.07,0.043,0.042,0.042
0.039,0.043,0.035,0.047,0.039,0.035,0.042,0.045,0.04,0.047,0.043,0.046
0.046,0.042,0.049,0.044,0.047,0.225,0.045,0.046,0.054,0.046,0.055,0.051
0.054,0.042,0.036,0.045,0.049,0.039,0.039,0.042,0.057,0.045,0.044,0.046
0.045,0.039,0.042,0.042,0.045,0.041,0.042,0.041,0.044,0.042,0.043,0.049
0.044,0.039,0.046,0.043,0.042,0.041,0.042,0.042,0.045,0.049,0.044,0.048
,,,,,,,,,,,
0.042,0.436,0.04,0.044,0.04,0.043,0.043,0.042,0.037,0.036,0.061,0.056
0.037,0.062,0.044,0.043,0.043,0.063,0.035,0.057,0.045,0.066,0.046,0.048
0.041,0.036,0.041,0.032,0.165,0.043,0.041,0.037,0.042,0.035,0.036,0.037
0.038,0.039,0.037,0.041,0.038,0.033,0.033,0.043,0.039,0.041,0.035,0.042
0.042,0.034,0.046,0.036,0.04,0.04,0.041,0.035,0.038,0.039,0.035,0.042
0.05,0.037,0.038,0.04,0.049,0.033,0.045,0.04,0.048,0.035,0.048,0.04
0.04,0.034,0.033,0.035,0.037,0.033,0.04,0.037,0.041,0.037,0.043,0.046
0.044,0.041,0.044,0.04,0.04,0.043,0.042,0.043,0.042,0.041,0.043,0.045
,,,,,,,,,,,
0.043,0.045,0.048,0.061,0.05,0.048,0.052,0.047,0.037,0.042,0.048,0.049
0.037,0.056,0.05,0.061,0.056,0.079,0.044,0.049,0.04,0.062,0.051,0.049
0.051,0.036,0.044,0.036,0.091,0.042,0.046,0.045,0.061,0.041,0.047,0.047
0.04,0.04,0.035,0.052,0.039,0.039,0.047,0.042,0.04,0.048,0.054,0.051
0.042,0.048,0.047,0.043,0.047,0.044,0.052,0.043,0.049,0.043,0.057,0.053
0.05,0.045,0.047,0.044,0.049,0.048,0.042,0.044,0.05,0.042,0.051,0.049
0.043,0.041,0.048,0.045,0.042,0.032,0.043,0.034,0.041,0.036,0.045,0.051
0.041,0.041,0.043,0.041,0.039,0.041,0.044,0.044,0.045,0.041,0.055,0.049
,,,,,,,,,,,
0.041,0.047,0.042,0.048,0.043,0.044,0.046,0.052,0.052,0.046,0.047,0.046
0.039,0.059,0.045,0.077,0.042,0.063,0.044,0.063,0.042,0.09,0.046,0.048
0.042,0.038,0.04,0.036,0.072,0.041,0.042,0.044,0.052,0.042,0.042,0.043
0.039,0.04,0.033,0.044,0.039,0.035,0.044,0.044,0.041,0.049,0.044,0.05
0.036,0.04,0.047,0.033,0.054,0.047,0.06,0.048,0.047,0.043,0.047,0.038
0.053,0.041,0.034,0.041,0.054,0.045,0.045,0.044,0.062,0.035,0.048,0.041
0.043,0.033,0.041,0.038,0.046,0.04,0.046,0.035,0.043,0.039,0.041,0.043
