0.042,0.055,0.04,0.88,0.04,0.04,0.042,0.04,0.053,0.054,0.041,0.041
1.119,0.06,0.039,1.991,0.904,0.061,2.134,2.295,1.09,0.402,1.963,0.039
0.047,0.102,0.04,0.18,0.056,0.049,0.104,0.041,1.582,0.05,0.039,0.039
0.11,0.04,0.038,0.473,1.562,0.039,0.038,0.04,0.047,0.042,0.04,0.069
0.054,0.037,1.589,0.038,0.054,1.367,0.058,0.039,0.039,0.04,0.042,0.04
0.044,0.037,0.038,0.045,0.044,0.159,0.053,0.059,0.415,0.038,0.051,0.04
0.647,0.125,0.097,0.133,0.04,0.048,0.094,0.05,0.042,0.379,0.125,0.041
0.04,0.038,0.04,0.131,1.255,0.047,0.04,0.404,0.038,0.041,0.039,0.059
