0.044,0.75,0.042,0.041,0.069,0.049,0.047,0.044,0.156,0.08,0.119,1.201
0.041,0.073,0.357,1.611,1.222,0.08,0.045,1.449,1.513,1.108,0.043,1.221
1.172,0.067,0.04,0.594,1.273,0.807,0.043,0.817,1.317,0.592,0.043,0.047
0.743,0.842,0.788,0.04,0.869,1.26,1.01,0.927,0.913,0.08,0.709,1.143
0.073,1.588,0.082,0.04,0.056,0.812,0.937,0.073,0.078,0.058,0.052,1.819
0.649,1.3,0.06,1.476,0.656,1.227,0.063,0.127,0.276,0.05,0.04,0.044
0.042,0.13,0.039,0.04,1.245,0.085,0.391,0.12,0.128,0.05,0.063,0.056
0.211,0.156,0.94,0.074,0.057,0.044,0.042,0.065,0.807,0.423,0.704,0.149
