0.051,0.105,0.047,0.047,0.128,0.422,0.733,0.045,0.045,0.046,0.047,0.074
0.945,0.062,0.432,2.099,0.667,0.627,0.047,0.047,1.916,0.063,0.046,1.188
1.159,0.368,0.045,0.618,1.352,0.43,0.181,0.052,0.05,0.376,0.047,0.048
0.106,0.047,0.465,0.534,0.277,0.564,0.066,1.175,0.049,0.223,0.303,0.508
1.046,0.405,0.427,0.046,0.059,0.509,0.043,0.045,0.047,0.884,0.168,0.181
0.938,1.785,0.709,2.049,0.814,0.064,0.406,0.152,0.055,0.046,0.049,0.145
0.046,0.046,0.047,0.053,0.388,0.045,0.046,0.046,0.055,0.366,0.173,0.062
0.053,0.435,0.047,0.063,0.047,0.112,0.047,0.057,0.607,0.046,0.046,0.122
