0.067,0.129,0.047,0.571,0.048,0.894,0.046,0.595,0.048,0.046,1.265,0.047
1.415,0.061,0.898,0.046,1.58,0.063,0.432,1.689,0.047,0.062,0.335,1.354
1.918,0.047,0.049,0.088,0.067,0.056,0.211,0.046,0.917,0.044,0.046,0.048
0.05,0.049,1.361,0.046,1.429,2.314,0.073,2.432,0.099,0.046,0.047,0.086
0.167,1.046,0.376,0.044,0.09,1.241,0.042,0.042,0.045,0.046,0.287,0.083
0.066,0.048,1.166,0.048,0.129,0.051,0.043,0.045,0.053,0.048,0.818,0.09
0.063,0.054,0.291,0.047,0.045,0.044,0.045,0.047,0.95,0.047,0.049,0.051
0.079,0.129,0.621,0.048,0.048,0.049,0.049,0.048,0.046,0.046,0.048,0.058
