0.043,0.518,0.771,0.052,0.105,0.402,0.043,1.091,0.041,0.042,1.176,0.044
0.041,0.06,0.039,0.054,1.035,0.061,0.097,0.906,0.37,0.06,0.062,0.773
0.217,0.045,0.039,0.092,0.623,0.389,0.04,0.065,0.71,0.043,0.039,0.651
0.064,0.079,0.038,0.381,0.627,0.075,0.653,0.039,0.676,0.038,0.039,0.062
0.04,0.715,1.719,0.049,2.045,0.04,0.985,0.624,0.041,1.326,0.039,0.04
0.045,0.051,0.038,0.059,0.298,1.432,0.061,0.04,0.066,0.037,0.04,0.43
0.039,0.04,0.298,0.326,2.396,0.109,0.189,0.04,0.04,0.039,0.046,0.041
0.042,0.04,0.038,0.038,0.044,0.594,0.039,1.067,0.042,0.652,0.039,0.077
