0.163,0.698,0.102,0.051,0.064,0.058,0.068,0.652,0.074,0.294,0.058,0.238
0.634,0.79,0.073,0.569,0.777,0.328,0.088,0.497,1.183,0.467,0.552,0.769
1.346,0.591,0.074,0.094,1.192,0.074,0.115,0.06,0.068,0.102,0.195,0.169
0.095,0.43,0.23,0.047,0.81,0.075,0.153,0.394,1.271,0.058,0.418,0.497
0.115,0.717,0.066,0.166,0.062,0.5,0.66,0.365,0.076,0.795,0.074,0.049
0.647,0.067,0.928,0.056,0.519,0.229,0.078,0.366,0.57,0.197,0.103,0.095
0.057,0.057,0.207,0.048,0.055,0.064,0.118,0.284,0.059,0.077,0.048,0.051
0.2,0.072,0.074,0.392,1.427,0.053,0.068,0.054,0.349,0.104,0.621,0.347
