,,,,,,,,,,,
0.081,0.042,0.042,0.056,0.047,0.069,0.063,0.064,0.052,0.045,0.065,0.058
0.043,0.066,0.039,0.04,0.042,0.071,0.051,0.042,0.049,0.075,0.038,0.05
0.039,0.037,0.04,0.044,0.039,0.04,0.039,0.036,0.04,0.036,0.039,0.044
0.04,0.046,0.038,0.039,0.04,0.042,0.035,0.037,0.043,0.042,0.038,0.033
0.049,0.046,0.043,0.035,0.044,0.038,0.04,0.041,0.045,0.041,0.037,0.036
0.048,0.044,0.039,0.037,0.046,0.043,0.044,0.036,0.047,0.036,0.038,0.042
0.039,0.041,0.055,0.048,0.038,0.037,0.045,0.041,0.052,0.038,0.081,0.045
0.039,0.04,0.041,0.037,0.043,0.039,0.04,0.049,0.049,0.049,0.038,0.043
,,,,,,,,,,,
0.046,0.1,0.049,0.059,0.057,0.07,0.068,0.05,0.059,0.048,0.061,0.058
0.045,0.067,0.044,0.043,0.044,0.068,0.061,0.062,0.054,0.071,0.044,0.059
0.042,0.043,0.045,0.04,0.042,0.043,0.041,0.041,0.044,0.04,0.044,0.047
0.042,0.049,0.04,0.04,0.043,0.047,0.04,0.042,0.046,0.048,0.043,0.079
0.049,0.047,0.049,0.039,0.043,0.042,0.046,0.041,0.048,0.045,0.039,0.042
0.052,0.047,0.048,0.057,0.046,0.046,0.046,0.037,0.051,0.042,0.046,0.046
0.048,0.046,0.055,0.045,0.043,0.038,0.04,0.047,0.047,0.04,0.06,0.053
0.052,0.047,0.043,0.04,0.045,0.056,0.04,0.051,0.047,0.054,0.048,0.06
,,,,,,,,,,,
0.088,0.053,0.079,0.039,0.043,0.04,0.042,0.041,0.041,0.043,0.043,0.056
0.042,0.072,0.048,0.04,0.045,0.066,0.04,0.04,0.056,0.064,0.041,0.04
0.04,0.04,0.042,0.038,0.048,0.041,0.044,0.041,0.043,0.04,0.045,0.04
0.041,0.055,0.045,0.039,0.047,0.042,0.04,0.089,0.043,0.04,0.039,0.04
0.043,0.055,0.039,0.037,0.042,0.047,0.04,0.04,0.044,0.041,0.041,0.04
0.046,0.038,0.061,0.039,0.045,0.039,0.039,0.062,0.046,0.039,0.039,0.04
