0.045,0.05,0.043,0.059,0.061,0.061,0.147,1.254,0.042,0.04,0.81,0.041
0.695,0.061,0.13,0.877,0.528,0.061,0.045,0.04,0.463,0.056,2.455,1.054
0.939,0.043,0.04,0.175,0.736,0.048,0.072,1.293,1.659,0.038,0.041,0.847
0.923,0.039,1.77,0.038,0.445,0.038,0.038,0.071,0.436,1.271,0.041,0.044
0.057,0.597,1.363,0.038,1.221,0.043,1.36,0.037,0.049,0.626,0.04,1.247
1.269,0.041,0.055,0.451,0.046,0.062,0.106,0.046,1.155,0.038,0.064,0.046
0.342,0.047,0.04,0.041,0.53,0.213,0.078,0.04,0.039,0.047,0.083,0.042
0.075,0.043,0.059,0.048,0.039,0.402,0.039,0.039,0.041,0.555,1.658,0.041
