0.05,0.718,0.061,0.294,0.058,0.638,0.793,0.281,0.052,0.762,0.048,1.154
0.567,0.766,0.391,2.447,2.277,0.079,1.208,0.91,1.65,2.351,0.47,1.09
0.58,0.531,0.107,0.184,1.412,0.467,0.148,0.423,0.447,0.439,0.185,0.252
0.688,0.64,0.498,0.331,2.377,0.399,0.852,0.322,0.581,2.379,0.158,2.699
0.052,0.096,1.091,0.328,0.071,1.398,1.221,0.069,0.075,0.519,0.435,0.211
1.277,0.676,0.07,0.087,0.654,0.362,2.413,1.634,0.498,0.653,0.368,0.594
0.803,0.227,0.089,0.144,0.195,0.071,0.043,0.09,0.144,0.054,0.209,0.059
0.734,0.061,0.622,1.508,0.4,0.129,0.226,0.397,0.978,0.451,0.419,0.442
