0.063,0.056,0.057,0.091,0.057,0.053,2.469,1.147,0.099,0.804,0.06,0.827
1.289,0.405,0.484,0.432,0.871,0.063,0.063,0.209,1.435,0.065,1.222,0.098
1.343,0.094,0.04,0.31,1.199,0.053,0.038,0.062,0.386,0.05,0.038,0.252
0.883,0.361,0.051,0.056,0.796,1.288,0.05,0.119,0.09,0.053,0.402,0.051
0.082,2.485,0.088,0.04,0.057,0.105,0.166,0.042,0.064,0.158,0.475,0.351
0.075,0.26,0.085,0.386,0.099,0.185,0.086,0.055,0.1,0.076,0.162,0.514
0.048,0.197,0.07,0.05,0.496,0.107,0.158,0.049,0.858,1.394,0.058,0.053
0.05,0.076,0.623,0.068,0.051,0.065,0.109,0.049,0.313,0.069,0.507,0.064
